is_offensive,description
1,"inscreva-se canal ative sininho # escosouza created by videoshow : URL"
1,"mc gw - caralho , xereca ( dj priobido ) part . mc 0belo mc gw - caralho , xereca ( dj priobido ) part . mc 0belo divulgue música canal funk . whatsapp : ( 00 ) 000000000 e-mail : EMAIL ( faça orçamento ) facebook : URL facebook : URL facebook : URL download/converter : URL"
1,"mc magrinho mc neguinho itr - pose rã - taca xereca ( áudio oficial ) lançamento 0000 artista : mc magrinho mc neguinho itr música : pose rã - taca xereca produção : dj tezinho gênero : funk download direto : URL quer comer graça ? ? baixe agora aplicativo glovo ganhe r 00,00 grátis comer quiser . basta utilizar código 000tmzq fazer compra acima 00 ganhar desconto 00 ! aproveitem tempo limitado . código : 000tmzq divulgue música vídeo : contato ( 00 ) 000000000 EMAIL fazemos banners , webclipes , flyers animados , lyric vídeo , web lyric . instagram : URL soundcloud : URL inscreva-se canal concorra prêmios : URL link vídeo : URL todos direitos reservados . copyright 0000 godoy explode funk ltda . # mcmagrinho # mcneguinhoitr # posedarã"
1,"assista agora nova pegadinha URL mixreynold networks fã canal URL facebook URL twitter URL ( vídeo pegadinha produzido canal mixreynold , possuo todos direitos imagem voz previamente autorizado cedidos direito participantes pegadinha ) ."
1,"mc novin - piroca revela ( vídeoclipe oficial ) lançamento 0000 artista : mc novin música : piroca revela produção : explode funk gênero : funk / putaria download direto : URL divulgue música vídeo : contato ( 00 ) 000000000 EMAIL facebook : URL soundcloud : URL inscreva-se canal concorra prêmios : URL link vídeo : URL todos direitos reservados . copyright 0000 godoy explode funk ltda . ignore tags mc novin - piroca revela ( vídeoclipe oficial ) lançamento 0000 , mc novin - então chupa empurro guela ( lançamento 0000 ) , mc novin mc brinquedo - então joga encima piru ( lançamento 0000 ) , mc novin - penetrando 0 - vem sentando vem kikando 0 ( áudio oficial 0000 ) , mc novin - então chupa novinha , mc novin - então chupa novinha ( áudio oficial ) lançamento 0000 , dj r0 , dj jorgin , dj perera , aquecimento putaria , funk proibidao , web clip , funk sp , funk capital , explode funk , godoy explode funk , download free , lançamento funk 0000 , set funk 0000 , montagem funk 0000 , funk ostentação 0000 , funk putaria 0000"
1,"leia descrição vídeo lequinho zika funk divulgue trabalho canal lequinho zika funk redes sociais facebook : URL instagram : URL google + : URL whatsapp ( 00 ) 000000000 inscreva-se canal , ative notificações receba vídeos antes todo mundo URL download música URL"
1,"inscrevam-se ative notificações segue sondcloud : URL dilvulgue música canal bm detona ( faça orçamento ) EMAIL quer ficar dentro todos bailes bh região ? curtam melhor página bailes bh ! URL soudcloud : URL instagram : URL facebook : URL"
1,"filipe ret - santo forte cantor compositor : filipe ret ouça plataformas : URL siga filipe ret : site : URL instagram : @ filiperet facebook : URL twitter : @ filiperet produção musical : filipe ret @ filiperet rick beatz @ rick.beatz dallass @ da00ass mãolee @ maoleenobeat co produção musical : johnny monteiro @ johnny.monteiro mixagem : fabrício matos @ fab.matos masterização : andré dias @ andremastering direção : gabriel camacho roteiro : doug martins produção : anna estrella allana amorim operador câmera - gabriel solano gabriel camacho edição pós : gabriel camacho casting : allana amorim anna estrella assistente direção : doug martins assistente performance : kayuá assistente camera : thiago akil luz/elétrica : allan marinho styling : anna estrella figurino : adidas estrella shop lab fantasma press pass apoio : arena carioca jovelina pérola negra galpão ação cidadania convert representações tudubom records elenco : passinho carioca pamella parrera amanda carvalho nata familia ademar lucas jota júnior caroline félix caio gonçalves arthur santos letra : mente peça gente , reza alma frente , coração quente , visão completa filho dono , deus guia viva sonho , viva sonho menina proponho bom melhor onda hoje quero ver então diz onde tá f r ( filipe ret ) , santo forte sente , santo forte novo líder , nasceu novo líder novo líder , nasceu novo líder novo líder , nasceu novo líder audaz jogador to outro nível caneta safado governo mata fuzil podem filmar , televisionar , muda nada rio parem , parem , parem , parem ser hipócritas verdadeiro inimigo usa terno gravata sempre mentiu fumo desestressa pressa , plano , dono tamo pronto pra guerra ttk penha banca senha pode ignorar , desdenhar navalha desenha pneu canta grita alto abraça forte tenta , deus ama , homem sorte medo morte desespera joga cabelo janela vamo acelerar audaz , voa , nada falta audaz , voa , nada falta novo líder , nasceu novo líder novo líder , nasceu novo líder novo líder , nasceu novo líder audaz jogador to outro nível idolatrado , querido voando alto , daqui vacilão erra to ligado neles , aqui novela respeitado asfalto , amado favela perde cobiça alheio chuva , chuva glória foda porque porque foda chapa quente santo forte chapa quente santo forte chapa quente santo forte chapa quente santo forte chapa quente santo forte chapa quente santo forte chapa quente santo forte chapa quente santo forte tudubom records @ tudubomrecords loja tudubom tudubomshop.com"
1,"noite , vale tudo tentar dar bem . portanto , estranho muita gente aja fale coisas normalmente jamais fariam . tudo preço . expectativa quebrar expectativas , pode acabar encontrando aquém dessas expectativas . elenco : joão vicente castro rafael portugal thati lopes making of : URL erros gravação : URL apps games : URL camisas produtos : URL canal porta fundos . lançamos vídeos todas segundas , quintas sábados 00h ."
1,": : inscreva-se canal : : [ adcionem facebook ] URL"
