is_offensive,tags
1,"boto cú piru sai boca ( ( dj jorginho 00 ) ) beat vem moda . boto cu piru sai boca . beat vem . beat 000 . lançamento . dj jorginho 00 . escosouza"
1,?
1,"mc magrinho mc neguinho itr - pose rã - taca xereca ( áudio oficial ) lançamento 0000 . mc magrinho . mc neguinho itr . mc magrinho mc neguinho itr . pose rã - taca xereca . pose rã . taca xereca . áudio oficial . lançamento 0000 . dj tezinho . godoy explode funk"
1,"mixreynold . mixreynold . mixreynolde . reinolde romao . reynold romao . canal mixreynold . reinold romão . pal bosta - nutela pegadinha : . pal bosta - nutela pegadinha : ( canalmixreynold )"
1,"mc novin - piroca revela ( vídeoclipe oficial ) lançamento 0000 . mc novin . piroca revela . vídeoclipe oficial . brigou comigo . revela . lançamento 0000 . mc novin - então chupa empurro guela . mc novin mc brinquedo - então joga encima piru . mc novin - então chupa novinha . mc novin - penetrando 0 - vem sentando vem kikando 0 . godoy explode funk . tdca000shdbish000fsjandj0000"
1,"mc denny mc luke . mc luke vai mamar escadão feat mc denny . feat mc denny . mc denny . mc denny 0000 . vai mamar . escadão . vai mamar escadão . mc luke . mc luke 0000 . dj piolho beat . dj piolho beat . mc luke dj piolho beat . mc denny dj piolho beat . mc luke mc denny . lyric vídeo . lequinho . zika . zika funk . lequinho zika funk . canal funk . funk momento . kondizilla . mc"
1,?
1,"porta . . fundos . kibe . loco . kibeloco . fabio . porchat . gregório . duviver . ian . sbf . antonio . tabet . joão . vicente . . castro . comédia . humor . engraçado . funny . comedy . risos . risadas . hilario . bizarro . parodia . satira . papo . merda . xaveco . pegaçao . bar . noite . noitada . balada . boate . machista . machismo . feminismo . cerveja . bebida . vinho . grosseiro . homem . mulher . silicone . cantada . pedreiro . paixao . platonica . toco . . nao . humilhaçao . anoes . chamas"
1,?
1,"canal . adão . bispo . comédia . sátiras . humor . zoeira . paródia . comediante . esquerdista . sátira . conde louppeux . condeta"
1,?
1,?
1,"helmet cam . câmera capacete . trânsito niterói . moto . motorcycle . motociclista . gopro . js0000 . motoqueiro . babaca . parque colina . estrada francisco cruz nunes"
1,"ytpbr . incrível mundo gumball . zueira . merda . funk . sarrada . sexo . gostosas . bunda . peitos . whindersson nunes . felipe neto . doria . rabetania . rabetão . south américa memes . sam . patolino . memeguy0"
1,"mc pp vs - xereca pisca ( dj tavares ) lnçamento oficial 0000"
1,"louco refri - tacando pau puta . lyric video . louco refri . tacando pau puta"
1,"pretinho básico . pretinho atlântida . pb atlantida . pretinho basico radio . bruno barreto . pretinho sincero . alcemar veloster . alcemar detona veloster . alcemar . pedro smaniotto . veloster pretinho basico"
1,?
1,"gr0 . explode . music . filmes"
1,"oriente . orienterj . vagabundo foda . clipe oriente . hiphop . rap . hip-hop . chino . dj qualy . self provoked . los angeles . la . niterói . rio janeiro . brasil . usa"
1,"ai delicia ser viado . ai delicia . delicia ser viado . delicia . ser viado . viado . gay . homosexual . vamos ser pra sempre . ser viado babado . babado . meme . south america memes . south . america . memes . sam . ai delicia ser viado csgo . ai delicia ser viado remix . musica . csgo . counter strike global offensive . cs . go . trollagem . troll . troll csgo . engraçado . zoeira . pegadinha . musica carnaval gays . musica gay"
1,"canaldootario . otarioanonymous . canal otario . cdo . canal otário . classe média . brasil . brazil . classe social"
1,"mc neguinho itr . ritmo fluxos"
1,"nando moura treta . treta nando moura . nando moura canal otário . contente nando moura . treta nando moura . canal otario treta . treta . news"
1,?
1,?
1,"corinthians . corinthians mil grau . corinthians oficial . tv corinthians . corinthians botafogo . campeonato paulista . desimpedidos"
1,"mano piu . piu . mano . funk . piu funk.com . funk.com . lançamento . musica . canal piu . bruninho beat . mc denny dá apanha dj bruninho beat ft mc vini vk . mc denny - buceta apanha ( lançamento 0000 ) dj bruninho beat . buceta apanha . mc denny . buceta . apanha . apanha . 0000 . 0000 . 0000 . 0000"
1,?
1,"cdb . baile cdb . mandela cdb . entupidao cdb . cobi . baile cobi . mandela cobi . entupidao cobi . cobi baixo . baile cobi baixo . mandela cobi baixo . entupidao cobi baixo . entupidao . lançamento . mc fp . xota bate . piru rebate . dj scooby du ja . 0000 . 0000 . baile comunidade"
1,"tomei lean . purple drank . lean . lucas a.r.t . lucas a.r.t . rap . trap . gang . skrrrr . trapstar"
1,"mc gw . vai caindo xereca . dj vt mix . lançamento . 0000 . musica nova"
1,"to copo mão bundão chão . mc rafa 00 . mc saci . bailão . fluxo . beat fluxos . beat funk . baile dz0 . 00 cinga . baile pantanal . baile mandela . hits . ritmo fluxos"
1,?
1,"mc 0belo - roça esfrega - á buceta piroca ( lançamento 0000 )"
1,"matheus yurley . tapa bunda . bunda puta . tchaca tchaca butchaca . gr0 filmes . dj tezinho"
1,?
1,"mc gw xereca mec dj carlinhos sr . mc gw atura surta 0 . mc gw atura surta . mc gw vai vai oh oh . mc gw vou fuguetar . mc livinho mc gw bagunceira . mc gw ritmo mexicano . mc gw ritmo americano . mc gw 0000 . mc gw medley . mc gw potock . mc gw cavucada . mc gw socadinha . mc gw soca soca . mc gw macetando . mc gw passinho maloka . mc gw vapo vapo"
1,"jean . vitoria . lone . tinaldo . lançamento . 0000 . novo . breno . santos . tonoflash . funk . novidade . putaria . musica . madley . mc . magrinho . pivete . baile . novinha . morro . alagoano . mandela"
1,?
1,". sotaque . lenilson . santos . whindersson nunes . whindersson . whinderson . whind . winderson . windersson . treta . treta news . bosta . merda . geração . retardada"
1,"mc fedo bosta - fimose ( clipe official ) . mc fedo bosta - fimose . mc fedo bosta . fimose . trap fimose . lil bosta . lil bosta - fimose ( clipe official )"
1,"jean . vitoria . lone . tinaldo . lançamento . 0000 . novo . breno . santos . tonoflash . funk . novidade . putaria . musica . madley . mc . magrinho . pivete . baile . novinha . morro . alagoano . mandela"
1,"coça xereca vou dar ( ( mc rebecca ) ) lançamento 0000 . lançamento 0000 . coça xereca . vou dar . mc rebecca . coça xereca mc rebecca . mc rebecca coça xereca . coça xereca . xereca . 0000 . vou dar ( ( mc rebecca ) ) lançamento 0000 . vou dar coça xereca ( ( mc rebecca ) ) lançamento 0000 . vou dar coça xereca"
1,"caveiragames . melhores momentos caveiragames . caveira games . caveira games life in hell . caveiragames life in hell hd . life in hell caveira . luis caveiragames . porra burro . comédia . memes . resident evil caveiragames . piores momentos caveiragames"
1,"gr0 . explode . music . filmes . dynho alves . feia pra caralho . dj nene mpc"
