is_offensive,title
1,"boto cú piru sai boca ( ( dj jorginho 00 ) ) beat vem moda"
1,"mc gw - caralho , xereca ( dj proibido ) part . mc 0belo"
1,"mc magrinho mc neguinho itr - pose rã - taca xereca ( áudio oficial ) lançamento 0000"
1,"pegadinha - pau bosta nutella !"
1,"mc novin - piroca revela ( vídeoclipe oficial ) lançamento 0000"
1,"mc denny mc luke - vai mamar escadão ( lyric vídeo ) dj piolho beat"
1,"mc bolôlô - porção buceta ( dj lincoln reis )"
1,"papo merda"
1,"mc lduk mc lara mc bocarra - taca piru [ dj triiick ]"
1,"conde loupeteta - tipo idiota vingará youtube"
1,"nico nico nii caralho"
1,"mc gw mc denny - xereca mandela ( dj guina vds mix ) lançamento 0000"
1,"motoqueiro babaca"
1,"ytpbr - incrível mundo gumball : bosta"
1,"mc pp vs - xereca pisca ( dj tavares ) lnçamento oficial 0000"
1,"louco refri - tacando pau puta ( lyric video )"
1,"alcemar detona veloster bosta ! ! !"
1,"clara crocodilo - bixa lá ( áudio )"
1,"dynho alves - feia pra caralho ( lyric video ) dj nene mpc"
1,"oriente - vagabundo foda ( feat . pedro qualy self provoked - prod . bruno silva )"
1,"ai delicia ser viado csgo"
1,"classe merda brasileira @ canaldootario"
1,"mc neguinho itr - cú perigo , pau ação ( prod . rf0 nvi ) lançamento 0000"
1,"nando moura chama otário covarde merda , rebate chamando nando arrombado picareta !"
1,"manga buceta"
1,"naiara azevedo nome rapariga clipe oficial low"
1,"botafogo-sp 0x0 corinthians - narração mil grau jogo bosta"
1,"mc denny - buceta apanha ( lançamento 0000 ) dj bruninho beat"
1,"la fúria - música nova : [ xereca luxo ]"
1,"mc fp - xota bate piru rebate [ dj scooby du ja ]"
1,"lucas a.r.t . - tomei lean ( achei bosta )"
1,"mc gw - vai caindo xereca ( dj vt mix ) lançamento musica nova 0000"
1,"to copo mão bundão chão - mc rafa original , mc saci ( acke beats )"
1,"valesca popozuda - sentei pica ex - dj jr md"
1,"mc 0belo - roça esfrega - á buceta piroca ( lançamento 0000 )"
1,"matheus yurley - tapa bunda , bunda puta tchaca tchaca butchaca ( gr0 filmes )"
1,"mc gw , mc t0 mc fahah - bate xereca ak ( dj ferrujo serra dj rangel taquaril )"
1,"mc gw - xereca mec ( dj carlinhos sr )"
1,"mega trepada puta [ dj jean du pcb ]"
1,"mc gw - cacete , caralho ( dj caaio doog ) lançamento 0000"
1,"whindersson nunes ídolo geração retardado"
1,"lil bosta - fimose ( clipe official )"
1,"mc pedrin - passa passa jogando xereca ( dj jean du pcb )"
1,"vou dar coça xereca ( ( mc rebecca ) ) lançamento 0000"
1,"'porra burro- caveiragames 0000"
1,"dynho alves - feia pra caralho ( video clipe ) dj nene mpc"
1,"mc 0 belo ngdp mc joão - gosta fofoca piroca ? ( lyric video ) dj th"
1,"uso dogras , diz blogueirinha merda após causar live ter foto vazada"
1,"taxista diz jesus cristo vagabundo"
1,"mc gw - segredinho xereca ( dj miltinho dj bruno prado )"
1,"mc 0d - piranha vem mamar ( vinhetas )"
1,"mc james blue - faz quadradinho piroca ( dj r0 ) lançamento 0000"
1,"nsc - merda paga cachê"
1,"mc moises torre , mc rafa 00 - vou bota pra mamar ( dj guih zo , dj páápùùh ) 0000"
1,"feliz natal , feliz ano novo caralho ! - curtinhas bispo arnaldo"
1,"clima tropical - r.a.v ( bass boosted ) 0000"
1,"mc ramon - peida xereca ( dj everton martins )"
1,"mc mr bim , mc gw mc bruninho ds - puta morrão ( dj ts dj guilherme )"
1,"mc denny - vai dar buceta ( dj bruninho beat )"
1,"mc gw mc up - joga xereca ( lyric video )"
1,"quero vai tomar cu , tomar conta vida [ lançamento ] 0k00"
1,"viado"
1,"00 . zarastruta - crônicas babaca , vol.0 ( part . dj cost ) [ tudozaras ]"
1,"mtg bundão arrasta ( ( dj rd h ) )"
1,"caracol raivoso vs . mussoumano batalha youtubers"
1,"mc denny mc jhowjhow - piru machuca ( kondzilla )"
1,"canal otario"
1,"zé paredão - piroca bonde - música nova - lançamento oficial 0000"
1,"mete força talento , soca buceta ( vinhetas )"
1,"quer putaria - mc 0belo - pica xereca ( dj kaiomix ) 0000"
1,"meter cacete - dorgas"
1,"ytpbr monte bosta sentido - reaction ! ! !"
1,"lap . mente louco"
1,"mc lan - xereca - tchau pra ( áudio oficial ) prod . lan rw lançamento 0000"
1,"mijão"
1,"baco exu blues - en mira ( interlúdio esú )"
1,"mc lan - enéias 00 000 - pau tabela ( dj felipe original )"
1,"chama viado"
1,"pau consignado !"
1,"mc denny mc gw - agride xereca ponta piru ( dj guina ) lançamento 0000"
1,"blogueirinha merda nega treta karol pinheiro : indireta pra"
1,"sarra piroca vs toma tapa cara ( djs alexandre , yang lucian )"
1,"mc brisola - chacoalha chacoalha joga buceta pica doidona bala ( dj r0 )"
1,"merda"
1,"joga xereca faixa preta vai passar ( lançamento 0k00 )"
1,"madame - surra piroca - música nova - lançamento 0000"
1,"mc digão - desce pau ( lyric video ) dj robson mv"
1,"quero ficar desmaiada overdose piroca bota tudo mim [ dj 's mk omlk sinistro jl ]"
1,"mc neguinho itr - bota pra mamar ( dj limah ) feat mc fabinho osk"
1,"nando moura chama matheus yurley zé bosta esculacha : logo , ninguém vai saber ."
1,"cafetão - piroca consola - música nova - lançamento oficial 0000"
1,"mc diguinho - surubinha leve ( fezinho patatyy ) brota convoca puta"
1,"daft punk ft . jorge jesus - get lucky - paródia vou sujar piroca"
1,"mc denny - bota xereca peça ( áudio oficial ) lançamento 0000"
