is_offensive,transcription
1,"00 deixou vir louco jardim 00 vinha saiu boca saiu bota grupo toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma então toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma ensaio boa louco louco louco louco toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma toma"
1,"porém fazemos número bigode 0 horas atlético maconha patati vergonha todos amigos tabuleiro matemática mundo primeiro vai ter ir canal duzentos barbearia 000 poder dar número claro aplicativo barbeiro vem piroca reta lá veio lucas escola piranha piranha piranha maluco maluco maluco maluco maluco maluco jeito saudade proibido quebrada falando sobre trânsito jabaquara passar vergonha todos amigos buceta caralho piloto barbeiro olho veio lucas rio verde piranha piranha piranha piranha piranha piranha tchau amor tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo"
1,"aí bom então aí apertar trenzinho respeita ai ai vai lá zona sul favela filha puta sonhar pegou busão goytacazes cachorra vai vir cá vem cá aqui tranquilo tranquilo tempero 00 macaquito vem cá aqui tranquilo tranquilo pra colega tempero 0 boca povo bom dinheiro vai sair respeitar melhor favela filha puta andar longe pegou busão rua leonardo imperatriz pegou aqui vem cá aqui tranquilo tranquilo passa coleta 0 cá puro passa coleta pedro 0,00 pode pá então tô sacanagem"
1,"fala viado fala aí caralho porra vai bater ver rapaz falando irmão falando viaja fala agora ver porrada negão fala agora ver tirando onda mão segura aqui segura aqui moral moral moral pode segurar aí moral segura segura aí porra tá medo sobre merda merda comer junto aí meninas querendo bater aí ó rapaz vou meter desgraça sai perto mim velho moral doidão hein porra viado sai perto mim rapaz vou meter desgraça velho mexe comigo moleque mexe comigo tá ligado segura cara vem vem mexe comigo bosta respondeu fala merda comigo viado irmão quebrar porrada segura mim manda mim favor segura mim caralho pegadinha pegadinha pegadinha desgraçado imprimir quero cometer desgraça cara mim porque cara agora cara quebrar cara filho puta merda tá bosta bosta bosta vai peço ajuda aqui acho papai ajuda aqui pegar aqui bosta matar pegadinha pegadinha pegadinha inveja escreve canal gatinho escrito qualquer filho tá achando chegasse escrita qualquer puder engraçado gente conseguindo escrito né gente começando áudio teto parece bando teólogo né dizendo gente tá dando dono youtube ridículo gente conhecendo relação séria exemplo discutir comigo porque disse dá chave busca mark zuckerberg casseta nele pneuzinhos boca tipo parece quiser assunto gente inscreve canal aqui cima clicar esqueça visitar site URL pode postar vídeo divertir melhores vídeos internet famoso aqui lado né menino tava chupando zeca menina meio rua gente escroto assim indico outro vídeo vou explicar tchau pode segurar aí moral segura aí segura aí porra tá medo guri merda merda comer junto aí meninas querendo bater aí ó rapaz velho desgraça sai perto mim velho moral doidão hein porra viado sai perto mim rapaz vou meter desgraça velho mexe comigo moleque mexe comigo tá ligado segura aqui vou meter cara cara vem mexe comigo bosta tipo deu fala merda comigo viado filme quebrar porrada segura mim irmão mim favor segura mim caralho pegadinha desgraçado imprimir quero cometer desgraça cara sobre quebrar cara quebrar cara suja mão merda tá boa boa tá sujo bosta vai peço ajuda aqui acho tá falando brasileiro tá batendo ajuda aqui mim meter desgraça tag quer bosta chateado porque matar pegadinha pô participando pegadinha ladrão pegadinha mostre diversos escreve canal chegasse escrito qualquer filho tá achando chegar 000 inscritos qualquer poderá sabe gente 000 inscritos né gente começando áudio cézar parece bando teólogo né outras teoria dizendo gente dando problema youtube ridículo gente conhecendo relação séria exemplo ontem ontem discutir comigo porque disse dona chave coqueiro mark zuckerberg fala cara ia dar parabéns casseta nele emergência abrir boca escreve canal aqui cima clicar esqueça fazer URL claro pode postar vídeo divertir melhores vídeos internet aí quebra ficar famoso aí uns vídeos aqui lado né ver menino quase menina meio rua gente escroto assim indico outro vídeo vou explicar tchau"
1,"briga comigo agora vou baile vou parar doer preparar putiane noite inteira vai ver tô fraca beiras falou comigo briguei vou dar pau cu começo solteira porque sei então cadela nina fiori piranha nasce vela vou comer todas solteira porque sei cadela piroga gabriela vídeo sobre tocando favela líder guinha tocando outra favela piroga piroca gay única sobrinha tocando todas favela dígito aí dude perfect pedrada pode vim tô esperando aqui brigou comigo plena quinta-feira agora vou baile vou ver pato tiane noite inteira vai ver tocar saideira brigou comigo briguei vou dar cima tô medo solteira porque simpsons cadela piroca lá revela piroca toda solteira porque sei gosta piroga piroca acho vi única outra favela único sobrinho outra favela piroga piroca aí única sobrinha tocando outra vez única sobrinha tocando outra favela funk cachorro então acesse vou dar resposta funk tudo canal brigou comigo plena sexta-feira agora vou baile vou igreja prepara tatiane noite inteira vai ver toca raça beiras brigou comigo briguei voltasse pau cu começo solteira porque sei cadela piroga vai revelar piroca novela vou comer toda solteira canto fez piroga bela fina piroga clientela vídeo ganhador ganhador favela ver vídeo ganhador ganhador favela piroga menina virou gabriela vídeo ganhador ganhador favela favela aí duda fala pedrada pode vir perguntando porque brigou comigo plena sexta-feira agora vou baile helipa matutinha noite inteira vai ver tocava beiras brigou comigo briguei voltasse pau cu começo solteira porque cadela nina piroca vai revelar piroca escrever lobo come toda solteira causa reduzindo-a piroga aí virou piroga acho dj douglinha todo carinho toda favela vídeo ganhador ganhou favela droga droga ver vídeo ganhador ganhou favela vídeo ganhador favela funk mim tomar suco kkk aí quer receber contente então acesse godoy explode funk tudo canal"
1,"0m nato putaria carai baile favela novinha vai matar menor escadão novinha vai mamar vai mamar vai mamar baba baba baba passo karen faço carinho geladeira tá força piroca senta senta senta ai bom titia tá umas faço carinho kkk baile favela novinha vai babar menor escadão novinha vai mamar vai mamar vai mamar piroca seta seta seta bota macete titaco sexta resulta turma parto"
1,"bm detona belo horizonte minas gerais tudo bobo caralho jeito capaz fazer tudo amor pediu ficar doido biquini piradona imagina pelada sentando cabeçote imagina pelada dando benção mãe sempre falava 00 palavra tipo coisa mim fala dia decidi mata desejo decidi matar desejo boa boa buceta deixou desse jeito ordem gráfico sempre come cobra duas vezes prova campeonato alemão quero ver coisa segurar"
1,"desculpa tomar tempo amigo vai perna boa noite branco pode fingir rô tudo bem vem sempre aqui aí começa boca besta pudesse vou morder oi princesa tudo bem linda sabia tá sozinha bebê tô magoado bebeu então vou perguntar quer beber ficar esperando faz seguinte oi tudo bem catuaba aqui favor rafael rafael catuaba gosto gente pap merda gosto gente vai ficar fruta igual gente medo exemplo joia gosta quê então ball troca pneu olhada bater papo aqui falo jeito nenhum agora faço tá irmã tava procurando possibilidade gaita fole coisa fico pensando aqui aconteceu nada meninos tá carinha cremoso gosto coisas crocante sabe mim chegar grosseria motivo seguinte umas meninas aí uns caras gosta desse tipo tá vai lá vai dar bem deixa aqui tô outra"
1,"vídeo boi oi rogério aqui deixa engraçada ganhar aplicativo ganhar massa mole piroca pode desce vai carai tapioca sobe desce sobe piroca gostosa maconha fazer sexo cama hoje tá amor vou deixar amor vida ajuda samsung j0 melhor tomar dj dj foto tumblr novinhas dj strike novinha rebola cabeça bola cabeça caixa rebola"
1,"canal bicho olá bem-vindos blog conde pt tá la villanueva aqui hoje falar sobre nudes vagabundo trenzinho aqui né falta intelectualidade causa desenvolvem trabalhos pessoal correndo atrás gente pode falar queima fogueira santa créditos créditos nutrientes vagabundo analfabetos funcionais sabe nada vida aí youtube continua aí idiotas úteis outros nada sobre dieta glúten tipo pessoa tipo ficar aqui youtube né aí fica falando bosta nada nada pessoa fica enganando outros passando fake news aí nada fiz belíssimo trabalho aqui youtube causada vinhos matheuzinho vagabundo aí tentando encher cabeça crianças bobagem desculpa então ir tentando trazer zyah gallagher bruxas elétricas gente jogar fogueira pessoas extremamente credibilidade nenhuma aqui plataforma pudesse empurrava dentro poço fundo ficava lá indo lá gostaria pegar pessoas amarrado foguete fique paz praça canal olá bem-vindos blog côndilo preta la villanueva aqui hoje falar sobre vagabundos aqui né falta intelectualidade desenvolvendo trabalho pessoal correndo atrás gente pode falar quer pessoa fogueira santa greve decretos inúteis vagabundo analfabetos funcionais sabe nada vida aí youtube continua aí idiotas úteis outros nada idiota úteis tipo pessoa tipo ficar aqui youtube né aí fica falando nada nada pessoa fica enganando outros passa face aí fiz belíssimo trabalho aqui youtube espantar papelzinho papelzinho vagabundo aí tentando esquecer cabeça crianças bobagem desculpa então ir tentando trazer zyah bruxas elétricas gente jogar fogueira pessoas extremamente credibilidade nenhuma aqui plataforma pudesse empurrava dentro poço fundo ficava lá indo lá gostaria pegar pessoas amarrado foguete tirar planeta ainda tô continuando batalha aqui youtube ver acabo tipos ateus aí igual vinícius daí fica espalhando coisas cima cabeça crianças aí acabar ateus ateus têm quadro aqui cheio ateu aqui dia vai acabar pessoas pessoas comprei xarope ver tuberculose porque cigarro passa vou atrás pegar analista pegar fique paz praça"
